country,year,iso_code,population,gdp,co2,co2_per_capita,gdp_per_capita,pm25,life_exp
Slovenia,2019,SVN,2083438.0,63598215879.0,14.053,6.745,30525.610015272832,14.07638,81.007
South Africa,2019,ZAF,59587880.0,721641639539.0,470.727,7.9,12110.54394851772,19.74802,66.0711
South Korea,2019,KOR,51767844.0,2015521635585.0,646.102,12.481,38933.85313834975,24.03774,83.6846
Spain,2019,ESP,47435121.0,1647042667976.0,250.674,5.285,34722.008361188746,9.3416,83.4794
Sri Lanka,2019,LKA,22410552.0,279626891521.0,21.106,0.942,12477.46559393093,23.87759,76.698
Sweden,2019,SWE,10279120.0,467020665386.0,40.772,3.967,45433.91510031987,5.95539,83.0518
Switzerland,2019,CHE,8577525.0,538693495449.0,36.822,4.293,62802.90590222704,8.96682,83.7804
Syria,2019,SYR,20353536.0,62427096792.0,33.492,1.645,3067.1376606010867,25.14079,70.9701
Tajikistan,2019,TJK,9529970.0,40979787244.0,8.714,0.914,4300.096143429622,53.64558,70.962
Tanzania,2019,TZA,59174889.0,172128919031.0,16.191,0.274,2908.8169313000317,15.36389,66.0068
Thailand,2019,THA,71522264.0,1149130685920.0,281.877,3.941,16066.754904738475,24.63927,77.1967
Togo,2019,TGO,8463070.0,12579682405.0,2.364,0.279,1486.420696626638,35.65757,61.0554
Trinidad and Tobago,2019,TTO,1484898.0,40060922958.0,40.755,27.446,26978.905593515516,10.26482,72.8357
Tunisia,2019,TUN,11875084.0,132642060864.0,30.579,2.575,11169.778745480875,26.52402,75.5992
Turkey,2019,TUR,85357670.0,1991116616493.0,406.568,4.763,23326.74517114865,23.25106,77.737
Turkmenistan,2019,TKM,6803943.0,94329707021.0,62.254,9.15,13863.976670733426,26.40925,69.4046
Uganda,2019,UGA,42999636.0,92903828922.0,5.761,0.134,2160.572450473767,31.31261,66.3537
Ukraine,2019,UKR,44957451.0,445656664440.0,222.188,4.942,9912.854366231752,13.50727,73.9199
United Arab Emirates,2019,ARE,9377855.0,734982504070.0,204.058,21.76,78374.26619093599,41.7495,82.5961
United Kingdom,2019,GBR,67110958.0,2624285076706.0,364.753,5.435,39103.67479340706,9.51575,81.4426
United States,2019,USA,337790069.0,18540552700117.0,5235.912,15.5,54887.79689410289,7.17987,78.916
Uruguay,2019,URY,3397206.0,67180494669.0,6.408,1.886,19775.219597810672,8.47571,77.5028
Uzbekistan,2019,UZB,32964700.0,339998944961.0,107.947,3.275,10314.03122009301,40.97948,72.0934
Venezuela,2019,VEN,28938096.0,197170883456.0,105.43,3.643,6813.540305346973,16.21392,72.7664
Vietnam,2019,VNM,97173778.0,731653148132.0,339.312,3.492,7529.326976789973,20.8923,74.2113
Yemen,2019,YEM,35111416.0,66185009341.0,11.788,0.336,1884.9997203473652,41.60944,66.5673
Zambia,2019,ZMB,18513839.0,65094496543.0,8.846,0.478,3515.9912832233226,16.8967,62.9145
Zimbabwe,2019,ZWE,15271377.0,25146416205.0,10.267,0.672,1646.6371175958789,13.07553,61.0603
